OBJECTID,NBHD_NAME,CANOPY_ACRES,NBHD_ACRES,PCT_CANOPY,GlobalID,Shape__Area,Shape__Length
1,Athmar Park,128.00555838,989.19478627,12.9403794,8ea1e858-9376-4883-a9a1-d8f636eb3d0f,5575899.55517578,925397.305591208
2,Auraria,31.66088549,413.11733396,7.66389664,8eed5169-05b5-4b76-9206-1516bb5b20b5,1379142.62158203,260877.536461808
3,Baker,77.04006796,954.63562115,8.07010196,8c285f17-f247-4f36-a651-8f216f5528b2,3355852.125,563850.453213536
4,Barnum,83.78233266,493.75501949,16.9684012,a40265f8-53c5-45a1-8bd3-8bf1afc04652,3649543.88330078,594006.384086346
5,Barnum West,80.82271581,463.25303874,17.4467751,214dbd31-0769-4bf4-8d40-96921dd6fb03,3520623.51318359,578247.468955595
6,Bear Valley,215.59018722,864.4732046,24.93890916,a52b9e86-fb35-478e-b1a2-3ea55ce49936,9391065.79394531,1198567.10360358
7,Belcaro,232.71293635,745.6581667,31.20906425,93d211e7-c457-402a-95d9-1eca7be00115,10136934.9858398,1281214.20432095
8,Berkeley,192.63356282,958.75491318,20.09205483,33035b4f-222f-48a4-b546-3a478ab9cc11,8391083.8984375,1239425.46641273
9,Capitol Hill,87.42500811,432.91088904,20.1946891,d9ec44a7-1e23-4611-b8e2-344fa5c53f8c,3808218.26318359,514764.295615439
10,CBD,10.14269238,275.89770731,3.67625106,ec5c16bf-9989-4e32-bae9-313a88e53d77,441813.865722656,78108.92281007
11,Central Park,209.61643442,5750.35448507,3.64527848,d643043c-76d9-47b2-aa97-bdeb258d7fae,9130855.20214844,2196307.86504418
12,Chaffee Park,58.37003761,502.62047196,11.61314369,7f726715-60ba-4bd0-b42b-c223b589cb66,2542595.40966797,404494.975802573
13,Cheesman Park,100.23215286,337.07312028,29.73602665,169f6ecd-44ad-4c5a-b26d-28b51bb764c8,4366094.95507813,528475.535170106
14,Cherry Creek,97.67419094,535.54491033,18.23828199,6ef42135-8d8a-4726-b3ae-cd221dfd1ed6,4254670.72119141,613354.512035625
15,City Park,120.27781882,491.82001055,24.45565781,838d1067-4cf4-4ef7-9120-3f3688041fbe,5239280.78173828,641326.26449245
16,City Park West,72.61609477,342.38760175,21.20873957,3c2e0deb-f665-4134-be5d-855ee19c389f,3163144.46044922,430672.468684861
17,Civic Center,17.93406904,194.49637237,9.22077303,567f846b-7a21-44a6-9c35-fcbe0e3aba5a,781204.955566406,120449.566372531
18,Clayton,65.75142632,493.27053497,13.32968861,47a7a3e5-fecc-446d-a8d1-19d5d1cb56a2,2864120.53076172,477800.900977438
19,Cole,45.92001011,327.74879001,14.01073368,802ec977-e57d-42a6-86c3-714fc066d16d,2000267.65527344,320434.140787324
20,College View - South Platte,105.76241858,933.56141488,11.32891922,b5538e14-18a4-4a98-9f16-425b335ee418,4606992.54199219,762882.312899025
21,Congress Park,213.74068244,658.71695089,32.44803131,5d3d992b-e5a4-4879-9769-f99d4ab1b640,9310506.71875,1168422.76727298
22,Cory - Merrill,122.07593351,537.00077792,22.73291558,f3093345-caee-4a90-a93d-cb1d92f42185,5317606.35693359,780317.768730887
23,Country Club,155.98447419,415.61053035,37.53140568,a15a1a2e-d3de-4a50-8648-0c9f915cc167,6794656.44482422,822746.206839664
24,DIA,53.98840803,27113.48015946,0.19912017,9e30cf9d-3b97-4e44-bdcb-76ca9b31dc20,2351725.86621094,426990.90200004
25,East Colfax,137.06826255,684.30720732,20.03022343,306afed3-1c2e-4efb-8e7f-b80660fa5ca2,5970669.87255859,959514.019279609
26,Elyria Swansea,76.85621707,1660.22751776,4.62925811,f38174ca-1875-40b3-8981-c6025ea95e7a,3347843.37304688,596292.27847992
27,Five Points,92.01187826,1125.27153142,8.17686005,53fcc0bc-94cc-4d6c-9311-d95153df117d,4008021.48486328,663813.156032511
28,Fort Logan,321.14903394,1696.81835025,18.92654178,1e6d85dd-420a-46e1-80b3-ccad792cf51b,13989194.565918,2005967.98749459
29,Gateway - Green Valley Ranch,247.43504079,4713.02732581,5.25002347,615459c7-55e9-4808-a09a-23c0b2bc00cf,10778227.2402344,2406685.93875191
30,Globeville,68.9616549,1318.30019817,5.23110404,8500d426-aefe-40f6-91cf-69cb7988a0ac,3003957.77294922,547080.414281037
31,Goldsmith,97.54246365,495.00771057,19.70524127,360aa62c-ae88-4d24-951e-e9e9fc49c6f7,4248933.00585938,551170.703353456
32,Hale,156.95032539,622.80094892,25.20072034,65007879-bdd4-47d2-bcff-ac525c0edb85,6836728.66064453,959529.645999702
33,Hampden,415.80911886,1808.13256063,22.99660589,b7b1a375-a181-4f86-8319-254770f83d43,18112572.6484375,2547910.17790062
