OBJECTID,FACILITYID,SUBTYPE,UNITKIND,OWNER,LIFECYCLESTATUS,INSTALLDATE,LENGTH,MULTIINLETCOUNT,RIM_ELEV,INVERT1,INVERT2,GROUNDELEVATION,ENABLED,x,y
1,47414STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3114960.22985506,1648896.78435196
2,47412STIL,3,UNKN,DPUB,ACT,,,1,,5560.52,,,1,3114946.7922179,1648970.99319305
3,47411STIL,98,UNKN,DPUB,ACT,,,1,,5511.49,,,1,3123519.32559773,1648987.78974739
4,47409STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3121169.92019156,1648991.74676047
5,47403STIL,2,NO14,DPUB,ACT,1/10/1996 12:00:00 AM,,2,,5538.89,,,1,3121138.03081964,1649029.40711822
6,47402STIL,98,UNKN,DPUB,ACT,3/21/1997 12:00:00 AM,,1,,5513.39,,,1,3123519.44239539,1649035.3090093
7,48220STIL,3,NO16,PRIV,ACT,8/11/1998 12:00:00 AM,,1,,5543.7,,,1,3120508.28273532,1649072.50644146
8,47399STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3123846.8354414,1649073.28170238
9,48219STIL,3,NO16,PRIV,ACT,8/11/1998 12:00:00 AM,,1,,5544.68,,,1,3120501.92021523,1649092.71670288
10,47395STIL,2,NO14,DPUB,ACT,1/10/1996 12:00:00 AM,,2,,5543.35,,,1,3121198.99821739,1649136.15165538
11,47394STIL,2,NO14,DPUB,ACT,1/10/1996 12:00:00 AM,,2,,5547.04,,,1,3121564.92169814,1649145.89966738
12,47389STIL,2,NO14,DPUB,ACT,10/31/1996 12:00:00 AM,,2,,5527.1,,,1,3122636.49665473,1649158.27825154
13,47387STIL,98,UNKN,DPUB,ACT,3/21/1997 12:00:00 AM,,1,,5516.26,,,1,3123517.54180865,1649166.86812939
14,47386STIL,3,UNKN,DPUB,ACT,1/10/1996 12:00:00 AM,,1,,5542.98,,,1,3121198.78529131,1649172.00689863
15,47385STIL,98,UNKN,DPUB,ACT,10/31/1996 12:00:00 AM,,1,,5527.01,,,1,3122692.84070215,1649177.40288521
16,47383STIL,2,NO14,DPUB,ACT,10/31/1996 12:00:00 AM,,2,,5526.51,,,1,3122611.13384455,1649184.80346097
17,47380STIL,98,UNKN,DPUB,ACT,3/21/1997 12:00:00 AM,,1,,5516.65,,,1,3123517.41319998,1649202.70959313
18,47376STIL,2,NO14,DPUB,ACT,10/31/1996 12:00:00 AM,,2,,5527.74,,,1,3122645.62655772,1649237.85716063
19,47373STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3114822.5227814,1649262.05593114
20,47371STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3114603.41626422,1649279.75996396
21,47370STIL,98,UNKN,DPUB,ACT,10/31/1996 12:00:00 AM,,1,,5525.52,,,1,3122734.6349099,1649281.87806997
22,47366STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3114796.42900155,1649316.7887613
23,47365STIL,98,UNKN,PRIV,ACT,,,1,,5528.55,,,1,3122798.57703923,1649328.58335713
24,47360STIL,98,UNKN,PRIV,ACT,7/26/2001 12:00:00 AM,,1,,5529.95,,,1,3122887.91741173,1649405.45885955
25,47358STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3113666.90140498,1649448.2786558
26,47355STIL,2,NO14,DPUB,ACT,3/21/1997 12:00:00 AM,,2,,5519.62,,,1,3123628.16757165,1649470.46725972
27,47353STIL,2,NO14,DPUB,ACT,3/21/1997 12:00:00 AM,,2,,5519.48,,,1,3123664.46474315,1649474.18838088
28,47349STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3115023.49153957,1649591.40468188
29,47346STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3115023.61621124,1649619.4535103
30,47343STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3113847.60904881,1649674.50228472
31,47342STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3113991.6307424,1649675.57380489
32,47341STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3114174.38562623,1649677.19748929
33,47340STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3116714.47733082,1649686.50915046
34,47329STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3116706.28541806,1649757.34365447
35,481045STIL,98,UNKN,PRIV,ACT,11/12/2004 12:00:00 AM,,1,,5564.75,5566.65,,1,3114360.47908606,1649827.5475823
36,47322STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3116245.55668072,1649854.3231193
37,47321STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3122259.62798589,1649854.80901071
38,47319STIL,98,UNKN,PRIV,ACT,,,1,,5546.05,,,1,3119581.6569639,1649869.66035897
39,47318STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3116546.23718172,1649871.84637822
40,47317STIL,98,UNKN,DPUB,ACT,,,1,,5561.43,,,1,3114813.99852023,1649872.51304355
41,47316STIL,98,UNKN,PRIV,ACT,7/26/2001 12:00:00 AM,,1,,5543.2,,,1,3122591.50068173,1649874.67839354
42,47311STIL,98,UNKN,DPUB,ACT,,,1,,5542.75,5542.55,,1,3122374.28425264,1649883.29845504
43,47308STIL,1,OTHR,PRIV,ACT,,,2,,,,,1,3117405.87752281,1649888.82272221
44,47309STIL,98,UNKN,PRIV,ACT,,,1,,5545.69,,,1,3119560.42111398,1649890.74332204
45,47306STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3122276.86679657,1649899.79087614
46,47305STIL,98,UNKN,DPUB,ACT,5/6/1997 12:00:00 AM,,1,,5553.6,,,1,3121220.00047198,1649901.01101805
47,47303STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3121414.35835098,1649902.49690747
48,47302STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3116527.93177214,1649905.84631021
49,47297STIL,98,UNKN,DPUB,ACT,,,1,,5543.44,5543.24,,1,3122325.0215559,1649913.05233255
50,47301STIL,98,UNKN,PRIV,ACT,7/26/2001 12:00:00 AM,,1,,5540.83,,,1,3122809.63836882,1649914.4981958
51,47299STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3116276.87551573,1649916.0474053
52,47298STIL,98,UNKN,PRIV,ACT,,,1,,5541.69,,,1,3119430.31212223,1649919.65533772
53,47291STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3116198.14109315,1649951.0473353
54,47287STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3116557.93171215,1649965.84619021
55,47283STIL,98,UNKN,DPUB,ACT,,,2,,5564.7,,,1,3114022.35869931,1649982.86354463
56,47281STIL,98,UNKN,DPUB,ACT,,,1,,5567.2,,,1,3113746.72736081,1650009.80673222
