OBJECTID,FACILITYID,SUBTYPE,OWNER,LIFECYCLESTATUS,INSTALLDATE,DIAMETER_FT,RIM_ELEV,INVERT1,INVERT2,INVERT3,INVERT4,INVERT5,INVERT6,DEPTH,COMMENTS,GROUNDELEVATION,ENABLED,x,y
1,48221STMH,1,PRIV,ACT,8/11/1998 12:00:00 AM,,,5523.89,5523.6,,,,,8.6,,5531.48,1,3120508.65642223,1648892.43232656
2,47410STMH,1,DPUB,ACT,1/10/1996 12:00:00 AM,,,,,,,,,,,5542.7,1,3121142.47470839,1648991.14079055
3,47407STMH,1,DPUB,ACT,,,,5515.45,5515.19,,,,,,MANHOLE,5522,1,3123288.59869698,1649011.75721914
4,47406STMH,1,DPUB,ACT,,,,5511.89,5513.09,,,,,,MANHOLE,5520,1,3123519.16221222,1649013.08792514
5,47405STMH,1,DPUB,ACT,,,,5515.96,5516.41,,,,,,MANHOLE,5522,1,3123837.05166832,1649014.93962747
6,47404STMH,1,DPUB,ACT,1/10/1996 12:00:00 AM,,,5538.45,5538.25,5537.75,,,,7.2,,5542.69,1,3121169.45956255,1649029.0275258
7,47401STMH,1,DPUB,ACT,,,,5562.06,5561.88,,,,,,,5567.08,1,3115068.03574181,1649041.25748822
8,47400STMH,1,DPUB,ACT,3/21/1997 12:00:00 AM,,,5515.25,5515.15,,,,,8,MANHOLE,5520,1,3123519.46568932,1649055.36736813
9,47398STMH,1,DPUB,ACT,,,,5518.82,5518.62,,,,,,MANHOLE,5524,1,3123062.7090569,1649075.98740563
10,47397STMH,1,DPUB,ACT,,,,5557.81,5558.22,,,,,,,5566,1,3115020.37376365,1649081.31121388
11,47396STMH,1,DPUB,ACT,1/10/1996 12:00:00 AM,,,5546.64,5546.51,,,,,6.9,,5552,1,3121560.7120609,1649127.00895713
12,47393STMH,1,DPUB,ACT,1/10/1996 12:00:00 AM,,,5541.89,5541.19,,,,,9.6,,5548,1,3121169.55437864,1649153.50234246
13,47392STMH,1,DPUB,ACT,1/10/1996 12:00:00 AM,,,5542.78,5542.78,5542.38,5542.08,,,8.5,,5548,1,3121198.93949048,1649153.73528163
14,47391STMH,1,DPUB,ACT,1/10/1996 12:00:00 AM,,,5544.06,5543.86,,,,,7.8,,5549.93,1,3121348.70198622,1649154.91638163
15,47390STMH,1,DPUB,ACT,,,,5556.59,5556.37,,,,,,,5566.29,1,3114944.91230039,1649155.47641988
16,47388STMH,1,DPUB,ACT,,,,5548.44,,,,,,3.49,,5551.93,1,3121552.80984573,1649164.8304038
17,47384STMH,1,DPUB,ACT,3/21/1997 12:00:00 AM,,,5516.51,5516.41,,,,,7,,5522,1,3123517.37120531,1649183.32052431
