OBJECTID,FACILITYID,SUBTYPE,UNITTYPE,OWNER,LIFECYCLESTATUS,INSTALLDATE,DIAMETER_INCHES,FLAPGATE,TRASH_RACK,INVERT1,INVERT2,INVERT3,GROUNDELEVATION,ENABLED,x,y
1,47416STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3115068.75522856,1648859.19748488
2,47413STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3124326.92207964,1648925.2895443
3,47408STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3124518.0604769,1649009.25099055
4,47378STOF,2,Headwall,DPUB,ACT,,,,,5556.37,,,,1,3115010.12936155,1649221.89360988
5,47368STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3114860.24547498,1649300.47645797
6,47364STOF,3,Other,PRIV,ACT,,,,,,,,,1,3114819.48243314,1649341.48359379
7,47363STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3114903.27229181,1649364.25946689
8,47352STOF,1,Flared End Section,DPUB,ACT,,,,,5557.94,,,,1,3114729.78248131,1649481.8376438
9,47344STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3116858.12730598,1649635.36752047
10,47334STOF,3,Other,PRIV,ACT,,,,,,,,,1,3117427.64552389,1649709.59735888
11,47331STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3116888.30080207,1649753.18880713
12,47325STOF,1,Flared End Section,DPUB,ACT,,,,,5564.3,,,,1,3114322.58480489,1649813.10404164
13,495920STOF,1,Flared End Section,PRIV,ACT,9/11/2006 12:00:00 AM,,,,5568.03,,,,1,3114368.80780956,1649856.96812713
14,47296STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3119437.84327514,1649923.45487081
15,47295STOF,2,Headwall,PRIV,ACT,,,,,5542.29,,,,1,3119508.07804281,1649923.68026406
16,47284STOF,2,Headwall,PRIV,ACT,,,,,5542.25,,,,1,3119458.28221065,1649979.88454796
17,1446198STOF,1,Flared End Section,PRIV,ACT,,,,,,,,,1,3117268.03265415,1650003.46028821
18,47282STOF,2,Headwall,DPUB,ACT,,,,,5564.4,,,,1,3114036.75105898,1650007.2617898
19,47280STOF,2,Headwall,DPUB,ACT,,,,,5564,,,,1,3114133.69213806,1650010.52621897
20,1446199STOF,1,Flared End Section,PRIV,ACT,,,,,,,,,1,3117302.75502564,1650014.74504255
21,1446193STOF,1,Flared End Section,PRIV,ACT,,,,,,,,,1,3117334.31008065,1650056.93852772
22,47266STOF,2,Headwall,DPUB,ACT,,,,,5565.9,,,,1,3113787.0445374,1650110.24222688
23,47260STOF,2,Headwall,DPUB,ACT,,,,,5565.6,,,,1,3113872.57323773,1650137.5528678
24,47248STOF,2,Headwall,DPUB,ACT,,,,,5566.7,,,,1,3113667.23867464,1650217.70657888
25,47247STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3123919.73916698,1650217.7751483
26,47230STOF,3,Other,PRIV,ACT,,,,,,,,,1,3118339.88845006,1650283.25828505
27,481056STOF,1,Flared End Section,PRIV,ACT,11/12/2004 12:00:00 AM,,,,5566.36,,,,1,3114482.9899959,1650290.10735272
28,592260STOF,3,Other,DPUB,ACT,,,,,,,,,1,3117592.46770081,1650324.15748146
29,47209STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3123866.17168881,1650358.51830514
30,47538STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3117017.44457264,1650517.83393139
31,47158STOF,2,Headwall,PRIV,ACT,,,,,5474.58,,,,1,3124708.12243272,1650909.43190147
32,47157STOF,2,Headwall,PRIV,ACT,1/9/1997 12:00:00 AM,,,,5475.52,,,,1,3124626.49365897,1650922.03686313
33,47155STOF,2,Headwall,PRIV,ACT,1/9/1997 12:00:00 AM,,,,5467.35,,,,1,3124745.25162356,1650964.94196105
34,47568STOF,2,Headwall,PRIV,ACT,4/29/1998 12:00:00 AM,,,,5474.88,5473.5,,,1,3124002.10448781,1651330.98748879
35,47571STOF,2,Headwall,PRIV,ACT,4/29/1998 12:00:00 AM,,,,5471.75,5470.8,,,1,3124109.79062414,1651426.09523821
36,1446190STOF,2,Headwall,OCCD,ACT,,,,,,,,,1,3116503.07585073,1652486.87100379
37,1446189STOF,2,Headwall,OCCD,ACT,,,,,,,,,1,3116423.80041873,1652501.47038405
38,1446212STOF,2,Headwall,OCCD,ACT,,,,,,,,,1,3115946.06318523,1652517.44213688
39,1446211STOF,2,Headwall,OCCD,ACT,,,,,,,,,1,3115656.51028664,1652534.82235147
40,1446210STOF,2,Headwall,OCCD,ACT,,,,,,,,,1,3115633.61892822,1652535.07005438
41,1446218STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3113826.43258198,1652535.12517238
42,1446219STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3113870.26943657,1652535.12517238
43,47591STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3114303.24757323,1652539.13041371
44,1446231STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3114698.84291065,1652541.02903196
45,1446181STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3115051.00001472,1652541.37515987
46,47590STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3114171.85511948,1652542.19077505
47,1446229STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3114584.25029206,1652543.49982755
48,1446230STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3114698.96233298,1652546.79936163
49,1446228STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3114585.24700923,1652549.40368713
50,817368STOF,1,Flared End Section,PRIV,ACT,,,,,,,,,1,3113505.04411714,1652746.63885696
51,1460868STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3172063.75475539,1652860.04381388
52,1460867STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3172114.89769773,1652868.03100263
53,1460861STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3172121.87701447,1652902.22122297
54,1442901STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3165537.80291231,1652904.8288293
55,1442900STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3165542.03682773,1652910.50467096
56,46987STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3169300.77931023,1652921.17919029
57,46978STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3169671.52692831,1652931.61584921
58,1460874STOF,1,Flaired End Section,DPUB,ACT,,,,,,,,,1,3171822.02787665,1652932.93966547
59,46975STOF,2,Headwall,DPUB,ACT,,,,,5632,,,,1,3166602.75025748,1652937.69588955
60,1460862STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3172050.75346906,1652940.32449321
61,46973STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3169780.89711639,1652943.49738713
62,46951STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3114251.49866098,1653138.90775746
63,1444435STOF,1,Flared End Section,DPUB,ACT,6/10/2009 12:00:00 AM,,,,5639.74,,,,1,3166599.70925306,1653253.01743738
64,46926STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3168949.29182422,1653314.91331096
65,46912STOF,2,Headwall,DPUB,ACT,,,,,5635,,,,1,3166497.78819706,1653394.07621038
66,1501071STOF,3,Other,PRIV,ACT,10/15/2018 12:00:00 AM,,,,5646.25,,,,1,3169405.95757756,1653498.61143439
67,46881STOF,2,Headwall,DPUB,ACT,,,,,5569.83,,,,1,3116713.49833015,1653552.83245455
68,46879STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3171950.50629424,1653555.1995758
69,46878STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3116707.38580956,1653558.94366279
70,46863STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3167785.32630439,1653616.42550321
71,46862STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3116310.33017322,1653619.42746572
72,46846STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3167764.48448256,1653690.86531496
73,1611911STOF,1,Flaired End Section,PRIV,ACT,,18,,,5611.01,,,,1,3165321.55236056,1653701.58346938
74,408735STOF,1,Flaired End Section,PRIV,ABND,6/23/2004 12:00:00 AM,,,,5609.8,,,,0,3165310.48446931,1653704.83871222
75,46841STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3116025.28284307,1653712.39873646
76,46835STOF,2,Headwall,PRIV,ACT,7/23/2001 12:00:00 AM,,,,5617,,,,1,3165407.03775389,1653724.77633639
77,46833STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3165410.26248498,1653742.30582888
78,1638627STOF,2,Headwall,PRIV,ACT,10/22/2021 12:00:00 AM,12,,,5640.93,,,,1,3166174.38201973,1653745.70083521
79,46826STOF,2,Headwall,DPUB,ACT,6/11/1981 12:00:00 AM,,,,5618.97,,,,1,3112753.78971414,1653760.52626488
80,1636668STOF,1,Flaired End Section,PRIV,ACT,5/6/2022 12:00:00 AM,18,,,5619.31,,,,1,3113305.77581489,1653769.46620764
81,46824STOF,2,Headwall,PRIV,ACT,,,,,5611.5,,,,1,3165323.36403672,1653786.52358821
82,1677459STOF,1,Flaired End Section,PRIV,ACT,5/12/1995 12:00:00 AM,,,,,,,,1,3117754.99985605,1653800.24993871
83,46816STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3113864.96334481,1653828.88669246
84,46810STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3113987.95095973,1653842.54775438
85,1636648STOF,1,Flaired End Section,PRIV,ACT,5/6/2022 12:00:00 AM,18,,,5617.72,,,,1,3113239.32056724,1653851.3328418
86,48362STOF,2,Headwall,PRIV,ACT,6/18/2003 12:00:00 AM,,,,5596.76,,,,1,3114219.32385656,1653893.95217913
87,46794STOF,2,Headwall,PRIV,ACT,,,,,5608.26,,,,1,3170227.67246956,1653914.38192829
88,46784STOF,2,Headwall,DPUB,ACT,7/1/1979 12:00:00 AM,,,,5593,,,,1,3171509.52587698,1653934.03904122
89,1677454STOF,1,Flaired End Section,PRIV,ACT,5/12/1995 12:00:00 AM,,,,,,,,1,3117755.75969706,1653937.49507105
90,46759STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3171737.80757265,1654041.01061206
91,1624024STOF,1,Flaired End Section,PRIV,ACT,12/20/2019 12:00:00 AM,18,,,5605.09,,,,1,3170372.53077565,1654141.16133039
92,46729STOF,2,Headwall,PRIV,ACT,6/18/2003 12:00:00 AM,,,,,,,,1,3115015.13919406,1654215.53847821
93,46724STOF,2,Headwall,DPUB,ACT,,,,,5617.15,,,,1,3112390.80126689,1654261.68372713
94,46715STOF,2,Headwall,DPUB,ACT,,,,,5618.63,,,,1,3112345.91979498,1654306.81552663
95,46710STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3112332.57566155,1654328.24953888
96,46707STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3112374.11724514,1654350.61366738
97,46704STOF,2,Headwall,DPUB,ACT,,,,,5620.85,,,,1,3112228.65329723,1654357.2511213
98,46700STOF,2,Headwall,DPUB,ACT,,,,,5619.93,,,,1,3112196.30920181,1654381.89017963
99,46692STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3113858.37543148,1654403.58239347
100,48353STOF,1,Flaired End Section,PRIV,ACT,6/18/2003 12:00:00 AM,,,,5580.9,,,,1,3114985.89942315,1654404.25463621
101,46690STOF,2,Headwall,DPUB,ACT,,,,,5619.7,,,,1,3112216.2169704,1654405.9714963
102,46674STOF,2,Headwall,DPUB,ACT,,,,,5618.96,,,,1,3112248.50201081,1654436.33068755
103,46672STOF,2,Headwall,PRIV,ABND,8/1/1991 12:00:00 AM,,,,5576.96,,,,0,3115524.77564198,1654455.48911379
104,46664STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3112986.13242531,1654480.07994388
105,46660STOF,2,Headwall,DPUB,ACT,8/1/1991 12:00:00 AM,,,,5579.65,,,,1,3115253.17054215,1654504.60122029
106,1661850STOF,1,Flaired End Section,PRIV,ACT,6/18/2003 12:00:00 AM,,,,,,,,1,3115125.95655772,1654521.7803198
107,46619STOF,2,Headwall,PRIV,ACT,8/1/1991 12:00:00 AM,,,,5572.03,,,,1,3116149.46172856,1654626.67873205
108,46616STOF,2,Headwall,PRIV,ACT,8/1/1991 12:00:00 AM,,,,5571.87,,,,1,3116165.73269339,1654628.40904355
109,46603STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3171688.56554514,1654659.59238014
110,46585STOF,2,Headwall,PRIV,ACT,8/1/1991 12:00:00 AM,,,,5571.36,,,,1,3116229.21517798,1654704.07260613
111,46583STOF,2,Headwall,FDST,ACT,,,,,,,,,1,3173234.7563504,1654705.97220863
112,839824STOF,2,Headwall,DPUB,ACT,,,,,5619.12,,,5620.8,1,3165341.41419747,1654730.55385238
113,46563STOF,3,Other,PRIV,ACT,,,,,5615.17,,,,1,3170142.87998822,1654749.41241047
114,46545STOF,2,Headwall,PRIV,ACT,,,,,5616.05,,,,1,3170109.05229998,1654827.25739913
115,839729STOF,2,Headwall,DPUB,ACT,,,,,5618,,,5621.59,1,3165400.99084997,1654942.19975455
116,839788STOF,2,Headwall,DPUB,ACT,,,,,5617.53,,,5621.66,1,3165312.49397972,1654945.2715988
117,1473579STOF,1,Flaired End Section,DPUB,ACT,3/27/2019 12:00:00 AM,,,,,,,,1,3111300.25948472,1654971.25218987
118,1442540STOF,1,Flaired End Section,DPUB,ACT,3/27/2019 12:00:00 AM,,,,5616.5,,,,1,3111282.70505789,1655009.23538163
119,46502STOF,2,Headwall,PRIV,ACT,8/1/1991 12:00:00 AM,,,,5568.32,,,,1,3116085.99433582,1655012.00079605
120,46482STOF,2,Headwall,DPUB,ACT,8/1/1991 12:00:00 AM,,,,5571.73,,,,1,3115453.18621823,1655063.2123078
121,46479STOF,2,Headwall,PRIV,ACT,8/1/1991 12:00:00 AM,,,,5565.62,,,,1,3116084.26730515,1655074.13288963
122,1435519STOF,3,Other,PRIV,ACT,1/26/2010 12:00:00 AM,,,,5573,,,,1,3115724.73816857,1655074.1512623
123,46455STOF,2,Headwall,DPUB,ACT,,,,,5596.42,,,,1,3112558.73892315,1655082.74671754
124,1607078STOF,2,Headwall,PRIV,ACT,9/21/2021 12:00:00 AM,72,,,5624.43,,,,1,3110344.66428307,1655135.72955121
125,1430642STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3113969.76070739,1655145.92375655
126,46444STOF,2,Headwall,PRIV,ACT,12/22/1998 12:00:00 AM,,,,,,,,1,3171094.09363697,1655150.85812989
127,46441STOF,2,Headwall,DPUB,ACT,,,,,5671.2,,,,1,3171156.71293432,1655165.72817889
128,697231STOF,1,Flared End Section,FDST,ACT,8/19/2009 12:00:00 AM,,,,5640.6,,,,1,3166761.49731532,1655199.26616955
129,46422STOF,2,Headwall,DPUB,ACT,5/9/1994 12:00:00 AM,,,,5570.44,,,,1,3171060.38963614,1655216.6135758
130,840542STOF,2,Headwall,PRIV,ACT,,,,,5393.8,,,,1,3131001.41890123,1655217.77827163
131,46414STOF,2,Headwall,PRIV,ABND,,,,,,,,,0,3166735.17617373,1655250.02919137
132,697230STOF,1,Flared End Section,PRIV,ACT,8/18/2009 12:00:00 AM,,,,5640.6,,,,1,3166724.85467206,1655256.64794455
133,1403670STOF,1,Flaired End Section,PRIV,ACT,1/16/2014 12:00:00 AM,42,,,5626.67,,,,1,3167025.1014469,1655313.5149568
134,1403760STOF,1,Flaired End Section,PRIV,ACT,8/1/2011 12:00:00 AM,36,,,5627,,,5629.92,1,3166923.70663656,1655345.6487508
135,46390STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3165340.68224356,1655352.76914339
136,621169STOF,1,Flared End Section,FDST,ACT,2/12/2007 12:00:00 AM,,,,5638.98,,,,1,3167283.39161272,1655355.05982122
137,46382STOF,2,Headwall,DPUB,ACT,,,,,5666.7,,,,1,3171277.5929419,1655366.95087355
138,1446041STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3171397.30366048,1655399.92948213
139,620673STOF,1,Flared End Section,FDST,ACT,2/12/2007 12:00:00 AM,,,,5638.87,,,,1,3167193.21922089,1655417.46914521
140,46339STOF,3,Other,PRIV,ACT,,,,,,,,,1,3165278.52423139,1655417.53804271
141,497612STOF,1,Flaired End Section,PRIV,ACT,11/7/2006 12:00:00 AM,,,,5577.71,,,,1,3170704.08162172,1655542.79107305
142,46293STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3171342.5652529,1655575.26574562
143,46285STOF,1,Flaired End Section,PRIV,ACT,,,,,5617.62,,,,1,3167835.19333065,1655602.77061188
144,1442561STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3109782.91573465,1655629.65113555
145,1606822STOF,2,Headwall,PRIV,ACT,6/13/2022 12:00:00 AM,12,,,5619.48,,,,1,3110517.63276914,1655636.85551746
146,1606838STOF,1,Flaired End Section,PRIV,ACT,6/13/2022 12:00:00 AM,24,,,5620.22,,,,1,3110407.34919706,1655648.77084796
147,621441STOF,1,Flared End Section,FDST,ACT,2/12/2007 12:00:00 AM,,,,5614.67,,,,1,3167754.19185223,1655709.36324647
148,620622STOF,1,Flared End Section,FDST,ACT,2/12/2007 12:00:00 AM,,,,5626.35,,,,1,3166990.9617514,1655735.8389153
149,1685134STOF,2,Headwall,PRIV,ACT,10/18/1985 12:00:00 AM,,,,5544,,,,1,3117528.1787874,1655742.17026746
150,1606852STOF,2,Headwall,PRIV,ACT,6/13/2022 12:00:00 AM,18,,,5619.37,,,,1,3110385.48703606,1655762.96353297
151,46236STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3171240.57792406,1655802.10682738
152,46222STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3171644.54135498,1655847.25503105
153,46218STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3172024.0402679,1655860.3347293
154,46216STOF,2,Headwall,PRIV,ACT,,,,,5578,,,,1,3170451.85771672,1655870.63720213
155,46215STOF,2,Headwall,PRIV,ACT,,,,,5578,,,,1,3170465.76484114,1655873.27991338
156,1460901STOF,1,Flaired End Section,DPUB,ACT,,,,,,,,,1,3167924.74564497,1655885.70606963
157,46211STOF,2,Headwall,PRIV,ACT,,,,,5579,,,,1,3170410.11075298,1655887.03251055
158,46208STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3172020.42774232,1655904.68372196
159,620738STOF,3,Other,FDST,ACT,2/12/2007 12:00:00 AM,,,,5632,,,,1,3167021.16379073,1655918.95731546
160,1685140STOF,2,Headwall,PRIV,ACT,10/18/1985 12:00:00 AM,,,,5541.5,,,,1,3117652.2097073,1655940.85917455
161,46197STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3168333.29174389,1655949.73612531
162,46188STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3168674.41442123,1655996.2005993
163,46187STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3168669.68838081,1655997.60085897
164,620723STOF,1,Flared End Section,FDST,ACT,2/12/2007 12:00:00 AM,,,,5646.22,,,,1,3167090.58130281,1656011.6907258
165,620784STOF,1,Flared End Section,FDST,ACT,2/12/2007 12:00:00 AM,,,,5642.88,,,,1,3167037.10142289,1656025.68774505
166,46173STOF,2,Headwall,DPUB,ACT,,,,,5253.53,,,,1,3171136.69361739,1656066.49671856
167,48210STOF,1,Flared End Section,PRIV,ACT,6/7/2001 12:00:00 AM,,,,5557.05,,,,1,3115492.56474839,1656068.90353788
168,46174STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3118042.68005498,1656072.21553913
169,46169STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3168648.68842281,1656085.71190321
170,1441480STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3117895.08717431,1656087.75815897
171,1441481STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3117806.45710222,1656110.96119654
172,620579STOF,1,Flared End Section,FDST,ACT,2/12/2007 12:00:00 AM,,,,5651.05,,,,1,3167267.58947898,1656115.99268255
173,46156STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3171118.64444089,1656135.71639638
174,46155STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3168855.60434756,1656141.9778668
175,852009STOF,1,Flaired End Section,PRIV,ACT,8/22/2014 12:00:00 AM,,,,5551.3,,,,1,3116246.55963148,1656156.26589596
176,1441453STOF,1,Flared End Section,DPUB,ACT,,,,,,,,,1,3113965.62127998,1656173.36034997
177,1441465STOF,1,Flared End Section,DPUB,ACT,,,,,,,,,1,3113502.03592107,1656180.97057097
178,46134STOF,1,Flaired End Section,PRIV,ACT,,18,,,,,,,1,3110117.33698182,1656191.15427764
179,1441457STOF,1,Flared End Section,DPUB,ACT,,,,,,,,,1,3114268.5671964,1656196.90754697
180,48205STOF,1,Flared End Section,PRIV,ACT,6/7/2001 12:00:00 AM,,,,5556.73,,,,1,3115457.25215498,1656202.9541228
181,46135STOF,2,Headwall,DPUB,ACT,,,,,5251.67,,,,1,3171100.44303373,1656205.26809455
182,852065STOF,1,Flaired End Section,PRIV,ACT,8/22/2014 12:00:00 AM,,,,5551.58,,,,1,3116295.15467864,1656223.19325554
183,852043STOF,1,Flaired End Section,PRIV,ACT,8/22/2014 12:00:00 AM,,,,5551.55,,,,1,3116305.03425206,1656224.12369989
184,1678237STOF,1,Flaired End Section,PRIV,ACT,2/2/2025 12:00:00 AM,,,,,,,,1,3169146.80783339,1656244.06001171
185,1441456STOF,1,Flared End Section,DPUB,ACT,,,,,,,,,1,3114285.22431532,1656244.52326538
186,48202STOF,1,Flared End Section,PRIV,ACT,6/7/2001 12:00:00 AM,,,,5552.64,,,,1,3115636.66452581,1656271.93134704
187,1441469STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3115223.05577298,1656286.14424513
188,1441470STOF,1,Flared End Section,DPUB,ACT,,,,,,,,,1,3115269.69938047,1656286.35028146
189,1441474STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3115839.44233547,1656289.19673246
190,1430674STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3113446.42349948,1656289.71641646
191,1430680STOF,1,Flared End Section,DPUB,ACT,,,,,,,,,1,3113456.28863724,1656289.89292529
192,1438235STOF,1,Flaired End Section,PRIV,ACT,,36,,,5587.25,,,,1,3169044.87266982,1656298.42210771
193,616627STOF,1,Flared End Section,PRIV,ACT,,,,,5598.69,,,,1,3110672.62425706,1656318.76229014
194,616619STOF,3,Other,PRIV,ACT,,,,,5598.2,5597.77,,,1,3110714.78329349,1656334.11265314
195,1430677STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3113422.37367882,1656340.97418797
196,852125STOF,1,Flaired End Section,PRIV,ACT,8/22/2014 12:00:00 AM,,,,5551.48,,,,1,3116704.13483182,1656348.2550133
197,852127STOF,1,Flaired End Section,PRIV,ACT,8/22/2014 12:00:00 AM,,,,5551.46,,,,1,3116713.40613873,1656373.82156321
198,46066STOF,3,Other,DPUB,ACT,,,,,,,,,1,3171216.39883856,1656425.26109289
199,46064STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3118588.95750573,1656426.96417347
200,1430666STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3113046.7448369,1656443.7666333
201,1430669STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3113094.99998973,1656444.14786613
202,46053STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3118048.15970281,1656449.98414055
203,46051STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3172988.61346997,1656451.59240505
204,1473507STOF,1,Flaired End Section,DPUB,ACT,,,,,,,,,1,3112921.1309149,1656451.68131563
205,1606893STOF,2,Headwall,NDPUB,ACT,,60,,,,,,,1,3109976.43536073,1656459.63339947
206,46049STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3171081.5933339,1656463.94736722
207,1473520STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3112554.54536198,1656464.84664363
208,1473501STOF,2,Headwall,NDPUB,ACT,4/11/2003 12:00:00 AM,,,,5575.17,,,,1,3112548.16676581,1656474.80528513
209,1473500STOF,2,Headwall,NDPUB,ACT,4/11/2003 12:00:00 AM,,,,5575.69,,,,1,3112463.03734289,1656481.0283698
210,1473533STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3112576.16835023,1656526.53976172
211,1446459STOF,2,Headwall,PRIV,ACT,11/4/2002 12:00:00 AM,15,,,5557,,,,1,3116108.63799131,1656536.12176354
212,1607120STOF,2,Headwall,OCCD,ACT,,,,,,,,,1,3108251.88697256,1656549.73886231
213,46028STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3118724.96707623,1656661.91416289
214,46025STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3171039.07832706,1656666.9866593
215,620518STOF,2,Headwall,FDST,ACT,2/12/2007 12:00:00 AM,,,,5593.5,,,,1,3167557.42879431,1656718.10466731
216,637550STOF,1,Flaired End Section,PRIV,ACT,12/8/2008 12:00:00 AM,,,,5637.2,,,,1,3165736.09582281,1656727.0829958
217,46016STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3118799.00793864,1656747.47009413
218,1446083STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3171039.5560164,1656763.79191189
219,46004STOF,1,Flared End Section,PRIV,ACT,,,,,5627.85,,,,1,3165757.4484704,1656773.28664355
220,620817STOF,1,Flared End Section,FDST,ACT,2/12/2007 12:00:00 AM,,,,5594.33,,,,1,3167267.45758948,1656773.32765396
221,45999STOF,1,Flaired End Section,PRIV,ACT,,,,,5628.4,,,,1,3165699.70547564,1656793.0848323
222,620830STOF,2,Headwall,FDST,ACT,,,,,,,,,1,3167314.49391273,1656817.1910833
223,620829STOF,1,Flared End Section,FDST,ACT,,,,,,,,,1,3167290.03333172,1656823.14218688
224,620314STOF,1,Flared End Section,FDST,ACT,,,,,5590.84,,,,1,3168749.3794944,1656842.64542872
225,800246STOF,1,Flared End Section,PRIV,ACT,7/27/2012 12:00:00 AM,,,,5614,,,,1,3165291.40773581,1656846.67265163
226,620910STOF,1,Flared End Section,DPUB,ACT,2/12/2007 12:00:00 AM,,,,5594.16,,,,1,3167271.21676831,1656867.05187596
227,45983STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3120274.84914707,1656872.2047528
228,45963STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3120423.93054181,1656918.75387231
229,45959STOF,1,Flared End Section,PRIV,ACT,,,,,5632.3,,,,1,3165633.7991114,1656930.30174947
230,45960STOF,3,Other,PRIV,ACT,,,,,5626.9,,,,1,3165620.41888881,1656933.15673064
231,620451STOF,1,Flared End Section,FDST,ACT,2/12/2007 12:00:00 AM,,,,5597.88,,,,1,3167785.62223557,1656939.95199263
232,45947STOF,2,Headwall,NDPUB,ACT,,,,,,,,,1,3168223.40351222,1656991.63496013
233,45941STOF,1,Flaired End Section,PRIV,ACT,,,,,5626.7,,,,1,3165595.47766572,1656998.08967163
234,1473570STOF,2,Headwall,PRIV,ACT,,,,,,,,,1,3112564.89573498,1657034.47181672
