Year,Month,Neighborhood,Rainfall_In,SVI,Canopy_Pct,Depth_m,Property_Loss_USD
2006,1,Cherry Creek,0.3,0.1,28,0.0,0.0
2006,1,Montbello,0.49,0.75,15,0.05,2322.17
2006,1,Cherry Creek,0.98,0.1,28,0.23,46271.93
2006,1,Montbello,0.73,0.75,15,0.14,7153.91
2006,1,Montbello,1.12,0.75,15,0.3,14824.88
2006,1,Montbello,0.63,0.75,15,0.1,5038.44
2006,1,Five Points,0.54,0.82,12,0.29,14713.42
2006,1,Washington Park,2.42,0.15,35,0.71,141530.3
2006,1,Washington Park,0.65,0.15,35,0.0,0.0
2006,1,Cherry Creek,0.15,0.1,28,0.0,0.0
2006,1,Five Points,1.33,0.82,12,0.61,30506.1
2006,1,Cherry Creek,0.8,0.1,28,0.16,32034.95
2006,1,Washington Park,0.4,0.15,35,0.0,0.0
2006,1,Five Points,0.82,0.82,12,0.41,20371.49
2006,1,Cherry Creek,0.34,0.1,28,0.0,0.0
2006,1,Washington Park,1.35,0.15,35,0.28,55918.99
2006,1,Cherry Creek,1.44,0.1,28,0.42,83523.71
2006,1,Washington Park,0.29,0.15,35,0.0,0.0
2006,1,Montbello,0.36,0.75,15,0.0,0.0
2006,1,Washington Park,0.38,0.15,35,0.0,0.0
2006,1,Montbello,0.4,0.75,15,0.01,480.47
2006,2,Cherry Creek,0.78,0.1,28,0.15,30142.89
2006,2,Cherry Creek,0.59,0.1,28,0.08,15083.78
2006,2,Washington Park,0.79,0.15,35,0.06,11419.51
2006,2,Cherry Creek,2.07,0.1,28,0.67,133845.33
2006,2,Elyria-Swansea,1.06,0.94,8,0.59,29707.79
2006,2,Montbello,0.14,0.75,15,0.0,0.0
2006,2,Washington Park,0.97,0.15,35,0.13,25609.6
2006,2,Washington Park,0.2,0.15,35,0.0,0.0
2006,2,Montbello,1.03,0.75,15,0.26,13117.62
2006,2,Five Points,1.82,0.82,12,0.81,40396.03
2006,2,Washington Park,0.95,0.15,35,0.12,23915.43
2006,2,Elyria-Swansea,0.59,0.94,8,0.41,20300.03
2006,2,Five Points,0.56,0.82,12,0.3,15109.38
2006,2,Montbello,0.3,0.75,15,0.0,0.0
2006,2,Five Points,1.38,0.82,12,0.63,31659.08
2006,2,Cherry Creek,0.28,0.1,28,0.0,0.0
2006,2,Elyria-Swansea,3.1,0.94,8,1.41,70596.35
2006,2,Washington Park,1.08,0.15,35,0.17,34740.39
2006,2,Washington Park,0.47,0.15,35,0.0,0.0
2006,2,Cherry Creek,1.74,0.1,28,0.54,107145.91
2006,2,Montbello,0.13,0.75,15,0.0,0.0
2006,3,Cherry Creek,1.06,0.1,28,0.26,52985.71
2006,3,Five Points,1.5,0.82,12,0.68,34039.79
2006,3,Elyria-Swansea,0.25,0.94,8,0.27,13462.93
2006,3,Montbello,0.27,0.75,15,0.0,0.0
2006,3,Cherry Creek,0.43,0.1,28,0.01,2555.2
2006,3,Elyria-Swansea,0.38,0.94,8,0.32,16022.62
2006,3,Five Points,0.39,0.82,12,0.24,11854.53
2006,3,Cherry Creek,0.81,0.1,28,0.16,32819.63
2006,3,Montbello,0.02,0.75,15,0.0,0.0
2006,3,Cherry Creek,0.7,0.1,28,0.12,23865.58
2006,3,Montbello,1.16,0.75,15,0.31,15665.23
2006,3,Washington Park,0.81,0.15,35,0.06,12579.05
2006,3,Cherry Creek,1.03,0.1,28,0.25,50529.59
2006,3,Elyria-Swansea,0.9,0.94,8,0.53,26568.7
2006,3,Cherry Creek,0.58,0.1,28,0.07,14602.35
2006,3,Cherry Creek,1.12,0.1,28,0.29,57962.55
2006,3,Elyria-Swansea,1.76,0.94,8,0.88,43797.61
2006,3,Elyria-Swansea,1.74,0.94,8,0.86,43244.5
