FACILITYID,BASIN_NAME
47414STIL,Coon Creek
47412STIL,Coon Creek
47411STIL,West Belleview
47409STIL,Coon Creek
47403STIL,Coon Creek
47402STIL,West Belleview
48220STIL,Coon Creek
47399STIL,West Belleview
48219STIL,Coon Creek
47395STIL,Coon Creek
47394STIL,Coon Creek
47389STIL,West Belleview
47387STIL,West Belleview
47386STIL,Coon Creek
47385STIL,West Belleview
47383STIL,West Belleview
47380STIL,West Belleview
47376STIL,West Belleview
47373STIL,Coon Creek
47371STIL,Coon Creek
47370STIL,West Belleview
47366STIL,Coon Creek
47365STIL,West Belleview
47360STIL,West Belleview
47358STIL,Coon Creek
47355STIL,West Belleview
47353STIL,West Belleview
47349STIL,Coon Creek
47346STIL,Coon Creek
47343STIL,Coon Creek
47342STIL,Coon Creek
47341STIL,Coon Creek
47340STIL,Coon Creek
47329STIL,Coon Creek
481045STIL,Coon Creek
47322STIL,Coon Creek
47321STIL,West Belleview
47319STIL,Coon Creek
47318STIL,Coon Creek
47317STIL,Coon Creek
47316STIL,West Belleview
47311STIL,West Belleview
47308STIL,Coon Creek
47309STIL,Coon Creek
47306STIL,West Belleview
47305STIL,West Belleview
47303STIL,West Belleview
47302STIL,Coon Creek
47297STIL,West Belleview
47301STIL,West Belleview
47299STIL,Coon Creek
47298STIL,Coon Creek
47291STIL,Coon Creek
47287STIL,Coon Creek
47283STIL,Coon Creek
47281STIL,Coon Creek
47279STIL,West Belleview
47276STIL,Coon Creek
47275STIL,West Belleview
47273STIL,Coon Creek
47272STIL,Coon Creek
47271STIL,West Belleview
47269STIL,Coon Creek
47268STIL,Coon Creek
47267STIL,Coon Creek
47265STIL,West Belleview
47264STIL,West Belleview
411724STIL,West Belleview
47263STIL,Coon Creek
411721STIL,West Belleview
47261STIL,West Belleview
411723STIL,West Belleview
47257STIL,Coon Creek
481050STIL,Coon Creek
481051STIL,Coon Creek
411722STIL,West Belleview
47252STIL,West Belleview
47250STIL,West Belleview
47249STIL,West Belleview
47241STIL,West Belleview
47239STIL,Coon Creek
47237STIL,Coon Creek
47236STIL,Coon Creek
47235STIL,West Belleview
481052STIL,Coon Creek
47229STIL,Coon Creek
47228STIL,Coon Creek
47227STIL,Coon Creek
47223STIL,Coon Creek
47218STIL,West Belleview
47213STIL,West Belleview
47212STIL,West Belleview
47208STIL,Coon Creek
47206STIL,Coon Creek
47205STIL,West Belleview
47203STIL,Coon Creek
47202STIL,West Belleview
47200STIL,Coon Creek
47199STIL,Coon Creek
47196STIL,Coon Creek
47195STIL,West Belleview
47194STIL,Coon Creek
47193STIL,Coon Creek
47540STIL,Coon Creek
47542STIL,Coon Creek
